region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,THERM,VRE,MUST_RUN,STOR,FLEX,LDS,HYDRO,HYDRO_WD,HYDRO_LRES,HYDRO_SRES,HYDRO_RoR,ESR_1,ESR_2,MinCapTag_1,MinCapTag_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_Mwyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,wRamp_Up_Percentage,wRamp_Dn_Percentage,Hydro_productivity_factor_MW_per_m3_per_s,pW_Spill_Max_m3_per_s,pW_Discharge_Max_m3_per_s,pW_lvl_Max_Billion_m3,pW_lvl_Min_Billion_m3,pW_lvl_0_Billion_m3,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Commit,Hydro_level,Hydro_min_level,MinCapTag_3,SL_Ramp_Up_Percentage,SL_Ramp_Dn_Percentage
NY,NY_onshore_wind_turbine_1,Onshore Wind Turbine,1,21,2,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2051,0,47,0,-1,2051,0,0,-1,-1,-1,0,0,0,0,0,37489.38,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
NY,NY_other_peaker_1,Other_peaker,1,22,2,0,0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3079,0,400,0,0,3079,0,0,-1,-1,-1,0,0,0,0,0,21000,0,0,0,8,0,0,0,87,3.5,16.05,1.721,3.173,middle_atlantic_naturalgas,0,0,1,1,0,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
NY,NY_small_hydroelectric_1,Small Hydroelectric,1,23,2,1,0,0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,932,0,339,0,-1,932,0,0,-1,-1,-1,0,0,0,0,0,12657.6,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NY,NY_solar_photovoltaic_1,Solar Photovoltaic,1,24,2,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,154,0,447,0,-1,154,0,0,-1,-1,-1,0,0,0,0,0,16217.21,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
QC,QC_conventional_hydroelectric_1,Conventional Hydroelectric,1,25,3,0,0,0,0.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3733,0,1,0,-1,3733,0,0,-1,-1,-1,0,0,0,0,0,29311.59231,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,1,1,4788,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.74,0,0.05,0.05
QC,QC_conventional_steam_coal_1,Conventional Steam Coal,1,26,3,0,0,0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,1,0,0,388,0,0,-1,-1,-1,0,0,0,0,0,140540,0,0,0,4,0,0,0,124,16.5,14.42,2.751,3.519,new_england_coal,0,0,1,1,0,1,0,0,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0.095,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
QC,QC_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,1,27,3,0,0,0,0.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1,-1,-1,0,0,0,0,0,15980,0,0,0,0.51,0,0,0,0,0,10.34,0,0,None,0,0,0.866,0.866,158.730159,1,0,200,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QC,QC_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,28,3,0,0,0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,1,0,0,411,0,0,-1,-1,-1,0,0,0,0,0,21351,0,0,0,5,0,0,0,119,3.5,10.83,1.585,1.167,new_england_naturalgas,0,0,1,1,0,1,0,0,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
QC,QC_onshore_wind_turbine_1,Onshore Wind Turbine,1,29,3,1,0,0,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3508,0,1,0,-1,3508,0,0,-1,-1,-1,0,0,0,0,0,37489.38,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
QC,QC_other_peaker_1,Other_peaker,1,30,3,0,0,0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,0,1,0,0,1056,0,0,-1,-1,-1,0,0,0,0,0,21000,0,0,0,8,0,0,0,87,0,15.48,4.268,4.327,new_england_naturalgas,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
