Resource,NE_batteries_1,NE_biomass_1,NE_conventional_hydroelectric_1,NE_conventional_steam_coal_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combustion_turbine_1,NE_nuclear_1,NE_offshore_wind_turbine_1,NE_onshore_wind_turbine_1,NE_other_peaker_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,NY_batteries_1,NY_biomass_1,NY_conventional_hydroelectric_1,NY_hydroelectric_pumped_storage_1,NY_natural_gas_fired_combined_cycle_1,NY_natural_gas_fired_combustion_turbine_1,NY_nuclear_1,NY_onshore_wind_turbine_1,NY_other_peaker_1,NY_small_hydroelectric_1,NY_solar_photovoltaic_1,QC_conventional_hydroelectric_1,QC_conventional_steam_coal_1,QC_hydroelectric_pumped_storage_1,QC_natural_gas_fired_combustion_turbine_1,QC_onshore_wind_turbine_1,QC_other_peaker_1,QC_small_hydroelectric_1,QC_solar_photovoltaic_1,ON_conventional_hydroelectric_1,ON_conventional_steam_coal_1,ON_hydroelectric_pumped_storage_1,ON_natural_gas_fired_combustion_turbine_1,ON_natural_gas_fired_combined_cycle_1,ON_onshore_wind_turbine_1,ON_small_hydroelectric_1,ON_solar_photovoltaic_1,ON_nuclear_1,AT_conventional_hydroelectric_1,AT_conventional_steam_coal_1,AT_hydroelectric_pumped_storage_1,AT_natural_gas_fired_combustion_turbine_1,AT_natural_gas_fired_combined_cycle_1,AT_onshore_wind_turbine_1,AT_small_hydroelectric_1,AT_solar_photovoltaic_1,AT_nuclear_1,NY_naturalgas_ccavgcf_moderate_1,NE_naturalgas_ccavgcf_moderate_1,QC_naturalgas_ccavgcf_moderate_1,ON_naturalgas_ccavgcf_moderate_1,AT_naturalgas_ccavgcf_moderate_1,ON_biomass_1,AT_biomass_1,AT_other_peaker_1,NE_batteries_pld_1,NE_solar_photovoltaic_pld1,NY_solar_photovoltaic_pld_1,NY_onshore_wind_turbine_pld_1,NY_offshore_wind_turbine_pld_1,QC_conventional_hydroelectric_pld_1,QC_onshore_wind_turbine_pld1,AT_natural_gas_fired_combined_cycle_pld_1,AT_onshore_wind_turbine_pld_1,AT_solar_photovoltaic_pld_1,AT_nuclear_pld_1,AT_battery_pld_1,AT_small_hydroelectric_pld_1,ON_nuclear_SMR_upld_1,ON_hydroelectric_pumped_storage_upld_1,ON_Battery_upld_1,ON_naturalgas_ccavgcf_moderate_upld_1
t7551,741.0,0.0,1227.0,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1080238824914066e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651109.9753871143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762894.2739362591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5501078652444e6,0.0,0.0,0.0,0.0,0.0,163.04347826086956,0.0,0.0,0.0,0.0,0.0
t7552,741.0,0.0,1227.0,0.0,6986.739673024372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1079747680773805e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648806.9269211275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765033.9939362591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,9.5506358652444e6,0.0,0.0,0.0,0.0,0.0,163.04347826086956,0.0,0.0,0.0,0.0,0.0
t7553,741.0,0.0,1227.0,0.0,6794.365219554395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1079075625542109e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645555.5709211275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764746.2911328886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068.2608695652175,0.0,0.0,0.0,0.0,9.5506798652444e6,0.0,0.0,0.0,0.0,0.0,163.04347826086956,0.0,0.0,0.0,0.0,0.0
t7554,533.3913043478261,0.0,1227.0,0.0,6794.365219554395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5459.134779499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1078003686851805e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642304.2149211274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764400.3657052299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.5581766332411,0.0,0.0,0.0,0.0,9.5497238652444e6,0.0,0.0,0.0,0.0,0.0,163.04347826086956,0.0,0.0,0.0,0.0,0.0
t7555,415.2173913043478,0.0,1047.561276705002,0.0,6794.365219554395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2695.841248913999,3834.423463102742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076893914251806e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639052.8589211274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764129.0498654313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.5665392108606,0.0,0.0,0.0,0.0,9.5497678652444e6,0.0,0.0,0.0,0.0,0.0,163.04347826086956,0.0,0.0,0.0,0.0,0.0
t7556,415.2173913043478,0.0,716.5680000000001,0.0,6794.365219554395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.1309999999994,2678.759976092164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1075932009242654e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635801.5029211274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764065.9415764665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.5665392108606,0.0,0.0,0.0,0.0,9.5502958652444e6,0.0,0.0,0.0,0.0,0.0,163.04347826086956,0.0,0.0,0.0,0.0,0.0
t7557,415.2173913043478,0.0,930.066,0.0,6794.365219554395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.1309999999999,2678.759976092164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.107532133657803e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632550.1469211273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764354.8332875018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.82740877607796,0.0,0.0,0.0,0.0,9.5508238652444e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7558,207.6086956521739,0.0,530.064,0.0,5651.213627277735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2279.7722104013455,2678.759976092164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1075245646449342e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630944.8749211273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764712.7249985371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.82740877607796,0.0,0.0,0.0,0.0,9.5503518652444e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7559,0.0,0.0,530.064,0.0,5651.213627277735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.1309999999999,2678.759976092164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1075275394854255e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632740.6029211273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766852.4449985371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5498798652444e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7560,0.0,0.0,530.064,0.0,5651.213627277735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.1309999999999,2678.759976092164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1075808452011512e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634536.3309211273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768599.9267143281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5504078652444e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
